state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
Alabama,Perry,01105,1339,3860,5230,25.60%,73.80%,99.41%,LEFT,8923
Alabama,Pickens,01107,5594,4022,9668,57.86%,41.60%,99.46%,RIGHT,19930
Alabama,Pike,01109,8042,5636,13841,58.10%,40.72%,98.82%,RIGHT,33114
Alabama,Randolph,01111,8559,2203,10837,78.98%,20.33%,99.31%,RIGHT,22722
Alabama,Russell,01113,9864,11228,21329,46.25%,52.64%,98.89%,LEFT,57961
Alabama,St. Clair,01115,36166,7744,44441,81.38%,17.43%,98.81%,RIGHT,89512
Alabama,Shelby,01117,79700,33268,114950,69.33%,28.94%,98.28%,RIGHT,217702
Alabama,Sumter,01119,1598,4648,6291,25.40%,73.88%,99.28%,LEFT,12427
Alabama,Talladega,01121,22235,13138,35663,62.35%,36.84%,99.19%,RIGHT,79978
Alabama,Tallapoosa,01123,14963,5859,20991,71.28%,27.91%,99.19%,RIGHT,40367
Alabama,Tuscaloosa,01125,51117,37765,90172,56.69%,41.88%,98.57%,RIGHT,209355
Alabama,Walker,01127,26002,4834,31170,83.42%,15.51%,98.93%,RIGHT,63521
Alabama,Washington,01129,6564,2258,8876,73.95%,25.44%,99.39%,RIGHT,16326
