state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Tennessee,Coffee,47031,56520,14841,31842,9837,41679
Tennessee,Crockett,47033,14230,3638,7859,2733,10592
Tennessee,Cumberland,47035,60520,11381,30235,18904,49139
Tennessee,Davidson,47037,694144,161305,445816,87023,532839
Tennessee,Decatur,47039,11663,2639,6219,2805,9024
Tennessee,DeKalb,47041,20490,4804,11831,3855,15686
Tennessee,Dickson,47043,53948,13479,31479,8990,40469
Tennessee,Dyer,47045,37159,9658,20831,6670,27501
Tennessee,Fayette,47047,41133,8384,23671,9078,32749
Tennessee,Fentress,47049,18523,4169,10205,4149,14354
Tennessee,Franklin,47051,42208,9831,23788,8589,32377
Tennessee,Gibson,47053,49133,12910,27238,8985,36223
Tennessee,Giles,47055,29464,6813,16600,6051,22651
Tennessee,Grainger,47057,23320,5123,13317,4880,18197
Tennessee,Greene,47059,69069,14867,38947,15255,54202
Tennessee,Grundy,47061,13427,3135,7472,2820,10292
Tennessee,Hamblen,47063,64934,16365,36555,12014,48569
Tennessee,Hamilton,47065,367804,85187,216641,65976,282617
Tennessee,Hancock,47067,6620,1502,3679,1439,5118
Tennessee,Hardeman,47069,25050,5309,15091,4650,19741
Tennessee,Hardin,47071,25652,5719,13951,5982,19933
Tennessee,Hawkins,47073,56786,12212,32267,12307,44574
Tennessee,Haywood,47075,17304,4248,9641,3415,13056
Tennessee,Henderson,47077,28117,6936,15853,5328,21181
Tennessee,Henry,47079,32345,7222,17439,7684,25123
Tennessee,Hickman,47081,25178,5717,14946,4515,19461
Tennessee,Houston,47083,8201,1911,4585,1705,6290
Tennessee,Humphreys,47085,18582,4354,10467,3761,14228
Tennessee,Jackson,47087,11786,2306,6778,2702,9480
Tennessee,Jefferson,47089,54495,11895,31467,11133,42600
Tennessee,Johnson,47091,17788,3309,10333,4146,14479
Tennessee,Knox,47093,470313,112314,281963,76036,357999
Tennessee,Lake,47095,7016,1140,4701,1175,5876
Tennessee,Lauderdale,47097,25633,6266,15187,4180,19367
Tennessee,Lawrence,47099,44142,11967,24253,7922,32175
Tennessee,Lewis,47101,12268,2915,6740,2613,9353
Tennessee,Lincoln,47103,34366,8343,19268,6755,26023
Tennessee,Loudon,47105,54068,11305,28227,14536,42763
Tennessee,McMinn,47107,53794,12658,30435,10701,41136
Tennessee,McNairy,47109,25694,6097,14158,5439,19597
Tennessee,Macon,47111,24602,6522,14119,3961,18080
Tennessee,Madison,47113,97984,25193,55590,17201,72791
Tennessee,Marion,47115,28907,6660,16376,5871,22247
Tennessee,Marshall,47117,34375,8692,20062,5621,25683
Tennessee,Maury,47119,96387,24325,56318,15744,72062
Tennessee,Meigs,47121,12422,2753,6977,2692,9669
Tennessee,Monroe,47123,46545,10671,25895,9979,35874
Tennessee,Montgomery,47125,208993,61177,128056,19760,147816
Tennessee,Moore,47127,6488,1393,3664,1431,5095
Tennessee,Morgan,47129,21403,4459,12969,3975,16944
Tennessee,Obion,47131,30069,7129,16703,6237,22940
Tennessee,Overton,47133,22241,5192,12455,4594,17049
Tennessee,Perry,47135,8076,1946,4405,1725,6130
Tennessee,Pickett,47137,5048,949,2695,1404,4099
Tennessee,Polk,47139,16832,3567,9614,3651,13265
Tennessee,Putnam,47141,80245,19660,47126,13459,60585
Tennessee,Rhea,47143,33167,8311,18610,6246,24856
Tennessee,Roane,47145,53382,10977,30039,12366,42405
Tennessee,Robertson,47147,71813,18489,42300,11024,53324
Tennessee,Rutherford,47149,332285,91411,205052,35822,240874
Tennessee,Scott,47151,22068,5805,12471,3792,16263
Tennessee,Sequatchie,47153,15026,3412,8484,3130,11614
